Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,5UXZW0C54BL657980,PAS,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2011,BMW  ,SUBN,DIESEL  ,"5,192",,,11/30/2018,1/12/2021,BR   ,N,N,N
VEH ,5UXZW0C50D0B93223,PAS,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2013,BMW  ,SUBN,DIESEL  ,"5,192",,,7/15/2019,9/21/2021,GY   ,N,N,N
VEH ,5UXKS4C55F0N11146,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2015,BMW  ,UTIL,DIESEL  ,,"5,500",,5/2/2018,6/30/2020,BK   ,N,N,N
VEH ,5UXKS4C53F0N07029,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2015,BMW  ,SUBN,DIESEL  ,"4,930",,,7/11/2018,7/22/2020,BK   ,N,N,N
VEH ,5UXKS4C52F0N06132,PAS,BEDFORD        ,NY,10506,WESTCHESTER ,2015,BMW  ,SUBN,DIESEL  ,"4,930",,,10/10/2019,11/30/2021,BK   ,N,N,N
VEH ,5UXFF0C53ALT76075,SRF,KATONAH        ,NY,10536,WESTCHESTER ,2010,BMW  ,SUBN,DIESEL  ,"5,324",,,2/9/2018,3/23/2020,GR   ,N,N,N
VEH ,5PVNV8JT5H4S54533,COM,KATONAH        ,NY,10536,WESTCHESTER ,2017,HINO ,STAK,DIESEL  ,,"25,995",,9/23/2019,9/30/2020,WH/BK,N,N,N
VEH ,5PVNV8JTX82S50862,COM,KATONAH        ,NY,10536,WESTCHESTER ,2008,HINO ,DUMP,DIESEL  ,,"25,999",,2/14/2019,11/30/2019,WH   ,N,N,N
VEH ,5PVND8JP872S50248,TOW,BEDFORD HILLS  ,NY,10507,WESTCHESTER ,2007,HINO ,TOW ,DIESEL  ,,"25,500",,8/26/2019,9/30/2020,WH   ,N,N,N
VEH ,5KKHAECK87PX66004,COM,BEDFORD        ,NY,10506,WESTCHESTER ,2007,WSTR ,TANK,DIESEL  ,,"56,000",,1/9/2019,2/28/2020,WH   ,N,N,N
